KPA;Brazil 2019;Brazil 2021;Europe 2019;Europe 2021;BRA/EUR 2021;BRA/EUR 2019
geographic area (million km2);8.5 non-oceanic (22.5 Total);;11.5 non-oceanic;;-26%;
number of en-route ANSPs;1;;37;;-97%;
number of towers;59;57;400+;;-86%;
number of APP;43;42;16 (stand alone);;162%;
number of ACC;5;;62;;-92%;8%
number of ATCOs in OPS;3 126;3 549;17 5631;17 5631;-80%;-82%
controlled IFR flights (2019);1 594 442;1 286 224;10 995 092;6 173 101ÿ;-70%;-86%
flights/ATCO;510;362;626;351;3%;-18,50%
traffic density non Oceanic (flights/km2);0,187;0,151;0,956;0,536;-72%;-80%
12018, excluding Georgia and Canary Island;;;;;;
